env_package	size_frac	count
		22332604
host-associated		77039
human-gut		60830
water		21327
miscellaneous natural or artificial environment		16433
soil		16352
human-skin		14771
built environment		14600
human-oral		11917
		9520
sediment		7590
human-associated		7148
plant-associated		3623
microbial mat_biofilm		3111
	NA	1852
wastewater_sludge		1289
	not applicable	1167
human-vaginal		1124
	0.5 - 1 cm in any single dimension tissue biopsy	502
air		472
	2mm	293
	.02 micron	253
	0.22-3 micrometer	221
	5 - 90 µm	213
	0.2 - 5 µm	212
	> 0.7 um	195
	0.22 - 30 µm	175
	>0.2 um	142
	municipal and industrial	129
	0-0.22 micrometer	129
	63	127
	2-20	126
	0.8-2	126
	0-0.45 micrometer	120
	0.22 m	106
	0.22 micrometer	105
	3-30 micrometer	96
	Not applicable	92
	> 0.22 m	90
	0.2 um	89
	3-20 um	86
	0.2-3 um	72
	Only stones and plant roots thicker than 1 cm removed manually	71
	> 20 um	68
	NOT APPLICABLE	61
	0.2	59
	0.22-5 um	56
	0.2-25 micrometer	49
	> 3 µm	48
	according to Quiagen DNeasy® PowerSoil® Pro Kit	48
	< 3 µm	48
	not collected	46
	SF 20	43
	missing	43
	0.2 - 200 µm	42
	100uM filter sieve and preserved in 95% EtOH.	40
	0.1 m	39
	0.22 µm	38
	0.45 micrometer	38
	> = 11 um	37
	3-0.2um	36
	0.22	34
	T 0.2	34
	>3um	34
	None	33
	<5um to 0.2um	32
	>5um	32
	3-50 micrometer	32
	0-0.22 um	31
	5�m	28
	>= 0.2 um	28
	2	27
	0.4 micrometer	25
	0.1 micron	23
	0.22-150 um	19
	>2.7 micrometer	18
	na	18
	0.2-2.7 micrometer	18
	12 micrometer	17
	SF 0.2	16
	0.22 μm micrometer	16
	<2 mm	16
	0.02-0.22 micrometer	15
	total	14
	0.2-3 micrometer	13
	0.22 - 2 micrometer	10
	D50 0.3-0.6 micrometer	9
	D50 1.0-1.8 micrometer	9
	>3µm	9
	D50 3.2-5.6 micrometer	9
	0.2-2μm	9
	> 0,2µm	9
	3-0.22µm	9
	>22μm	9
	2-22μm	9
	0.22-1.2	8
	0.2um	7
	>1.2	7
	2 micrometer	6
	1.2 micrometer	6
	0.6 micrometer	6
	0.2-0.02	6
	0.2 micrometer	6
	20 micrometer	6
	PM10	6
	0.22um +	4
	5-11 um	4
	2um	4
	0.2-2um	4
	5.0 m and 0.22 m	3
	>10 um	3
	0.45 um	3
	>20	2
	0.22-10 micrometer	2
	ultrafiltered	2
	0.2-2.7	2
	2.7-20	2
	>100 micrometer	2
	0.1 m bulk filter	1
	no selection	1
	No	1
	greater than 10 kb	1
	74 mm	1
	> 0.1 um	1
	5 - 153 micrometer	1
	0.2-5 micrometer	1
	10 ml	1
	1250bp	1
	17 mm	1
	20um	1
	0.2 um um	1
	0.2 micron	1
	33 mm	1
	4 mm	1
	46 mm	1
	54 mm	1
	< 0.1 um	1
	62 mm	1
	0.2 - 5 micrometer	1
	69 mm	1
	78 mm	1
	8 mm	1
	82 mm	1
	86 mm	1
	9 mm	1
	90 mm	1
	94 mm	1
	25 mm	1
